,MM_Acc,DD_Mes_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Gravedad_Indicador_Tradicional,Clase,Edad,Sexo
24288,8,23,5,10,0,13,1,1,43.0,1
24289,10,5,6,10,30,13,1,3,23.0,1
24290,10,5,6,10,30,13,1,3,60.0,2
24291,10,6,7,20,31,17,1,4,44.0,1
24292,10,6,7,20,31,17,1,4,56.0,2
24293,10,6,7,20,31,17,1,4,16.0,1
24294,10,6,7,20,31,17,1,4,23.0,1
24295,10,6,7,20,31,17,1,1,19.0,1
24296,10,6,7,20,31,17,1,1,24.0,2
24297,10,4,5,8,0,12,1,1,20.0,1
24298,10,4,5,8,0,12,1,5,67.0,1
24299,10,4,5,17,40,10,1,5,15.0,1
24300,10,4,5,8,50,12,1,1,34.0,1
24301,10,4,5,8,50,12,1,1,28.0,2
24302,10,4,5,8,50,12,1,2,38.0,1
24303,10,15,2,7,30,16,1,1,27.0,1
24304,10,15,2,7,30,16,1,1,28.0,1
24305,10,16,3,8,45,17,3,3,28.0,1
24306,10,16,3,8,45,17,3,3,21.0,1
24307,10,15,2,14,30,14,1,16,17.0,1
24308,10,15,2,14,30,14,1,16,44.0,2
24309,10,15,2,14,30,14,1,16,6.0,2
24310,10,15,2,14,30,14,1,16,23.0,1
24311,10,15,2,14,30,14,1,16,52.0,2
24312,10,15,2,14,30,14,1,9,42.0,1
24313,11,8,5,12,18,16,1,1,20.0,1
24314,9,5,4,17,5,2,1,1,28.0,1
24315,9,5,4,8,15,11,1,1,23.0,1
24316,9,5,4,8,15,11,1,9,61.0,1
24317,9,5,4,8,15,11,1,5,28.0,1
24318,9,9,1,14,45,3,3,7,20.0,1
24319,9,9,1,14,45,3,3,2,47.0,1
24320,9,6,5,10,23,12,1,6,67.0,1
24321,9,6,5,10,23,12,1,1,33.0,1
24322,9,8,7,11,0,11,1,11,20.0,1
24323,9,8,7,11,0,11,1,11,34.0,2
24324,9,9,1,17,15,9,1,1,32.0,1
24325,9,9,1,17,15,9,1,9,40.0,1
24326,10,2,3,7,47,10,1,2,26.0,1
24327,10,31,4,7,1,12,1,7,29.0,1
24328,10,31,4,7,1,12,1,1,28.0,1
24329,10,26,6,14,20,13,1,1,42.0,2
24330,10,26,6,14,20,13,1,1,31.0,1
24331,10,30,3,1,0,12,1,3,64.0,1
24332,10,30,3,1,0,12,1,1,23.0,1
24333,10,31,4,8,11,12,3,3,44.0,1
24334,10,31,4,0,18,4,1,1,23.0,1
24335,10,31,4,0,18,4,1,1,18.0,1
24336,10,31,4,0,18,4,1,2,51.0,1
24337,10,29,2,13,0,13,3,1,21.0,1
24338,10,30,3,22,55,13,1,1,30.0,1
24339,10,30,3,22,55,13,1,1,28.0,2
24340,10,31,4,18,10,12,1,1,21.0,1
24341,12,3,2,8,18,9,1,1,43.0,1
24342,12,3,2,8,18,9,1,5,33.0,1
24343,1,3,3,23,34,4,1,4,50.0,1
24344,1,3,3,23,34,4,1,1,27.0,1
24345,1,1,1,16,30,11,1,2,44.0,1
24346,1,1,1,16,30,11,1,1,62.0,1
24347,1,1,1,16,30,11,1,1,50.0,2
24348,1,5,5,5,30,16,1,3,36.0,1
24349,1,5,5,5,30,16,1,3,46.0,2
24350,1,3,3,13,34,9,1,3,36.0,1
24351,1,3,3,13,34,9,1,3,71.0,1
24352,1,5,5,16,20,12,1,1,44.0,1
24353,1,1,1,14,30,2,1,4,40.0,1
24354,1,1,1,14,30,2,1,1,30.0,2
24355,1,3,3,12,40,16,1,3,27.0,1
24356,1,3,3,12,40,16,1,1,35.0,1
24357,1,6,6,14,21,10,1,4,48.0,2
24358,1,5,5,12,0,4,1,2,41.0,1
24359,1,5,5,12,0,4,1,1,26.0,1
24360,1,5,5,12,0,4,1,1,26.0,2
24361,1,6,6,0,59,1,1,2,24.0,1
24362,1,9,2,6,0,18,1,3,29.0,1
24363,1,9,2,6,0,18,1,2,56.0,1
24364,1,8,1,1,5,11,1,5,34.0,2
24365,1,10,3,14,50,12,1,1,55.0,2
24366,1,10,3,14,50,12,1,4,42.0,1
24367,1,10,3,19,20,7,1,1,51.0,1
24368,1,10,3,19,20,7,1,1,49.0,1
24369,1,10,3,21,0,15,1,5,53.0,1
24370,2,10,6,10,30,1,1,4,61.0,1
24371,2,10,6,10,30,1,1,2,60.0,1
24372,2,10,6,10,30,1,1,2,36.0,2
24373,2,10,6,10,30,1,1,2,5.0,2
24374,2,10,6,10,30,1,1,2,12.0,1
24375,2,10,6,10,30,1,1,3,28.0,1
24376,2,11,7,13,26,6,1,1,23.0,1
24377,2,11,7,13,26,6,1,1,20.0,1
24378,2,11,7,13,26,6,1,12,42.0,1
24379,2,11,7,13,26,6,1,12,16.0,2
24380,2,11,7,13,26,6,1,12,34.0,2
24381,2,11,7,13,26,6,1,12,10.0,1
24382,2,16,5,11,0,11,1,1,36.0,2
24383,2,16,5,22,30,11,1,1,23.0,1
24384,2,16,5,22,30,11,1,4,55.0,2
24385,2,17,6,10,40,15,1,1,22.0,1
24386,2,17,6,10,40,15,1,1,16.0,2
24387,2,17,6,10,40,15,1,2,29.0,2
24388,2,15,4,15,20,6,1,4,25.0,1
24389,2,16,5,7,57,10,1,2,22.0,1
24390,2,16,5,7,57,10,1,1,42.0,1
24391,2,15,4,12,53,10,1,1,23.0,1
24392,2,15,4,12,53,10,1,1,29.0,1
24393,2,15,4,12,53,10,1,2,35.0,1
24394,2,18,7,21,0,18,1,1,31.0,1
24395,2,18,7,21,0,18,1,2,43.0,1
24396,2,16,5,22,50,16,1,4,45.0,1
24397,2,16,5,22,50,16,1,5,46.0,1
24398,2,16,5,19,15,6,1,3,59.0,1
24399,2,16,5,19,15,6,1,3,18.0,2
24400,2,16,5,19,15,6,1,3,18.0,1
24401,2,18,7,3,0,4,1,4,42.0,1
24402,2,18,7,3,0,4,1,1,22.0,1
24403,3,30,6,16,40,8,1,1,28.0,2
24404,3,30,6,16,40,8,1,1,25.0,1
24405,3,30,6,16,40,8,1,1,21.0,2
24406,3,28,4,19,49,7,1,2,59.0,1
24407,3,28,4,19,49,7,1,2,47.0,2
24408,3,28,4,19,49,7,1,2,28.0,1
24409,3,28,4,19,49,7,1,2,3.0,2
24410,3,28,4,19,49,7,1,2,19.0,2
24411,3,28,4,19,49,7,1,2,32.0,2
24412,3,31,7,20,20,11,1,1,24.0,1
24413,3,31,7,20,20,11,1,2,46.0,1
24414,3,26,2,18,5,10,1,7,52.0,1
24415,3,26,2,18,5,10,1,2,63.0,2
24416,3,26,2,18,5,10,1,11,52.0,1
24417,3,26,2,18,5,10,1,2,44.0,1
24418,3,31,7,6,30,6,1,2,66.0,1
24419,3,31,7,6,30,6,1,1,24.0,1
24420,3,31,7,6,30,6,1,1,25.0,2
24421,11,19,2,7,14,12,2,4,68.0,1
24422,11,19,2,16,32,12,1,1,31.0,1
24423,11,19,2,16,32,12,1,5,32.0,1
24424,10,21,1,14,10,11,1,5,12.0,1
